,city,country,lat,lng,temp,humidity,cloudiness,wind_speed
0,ilulissat,gl,70.9869422905615,-45.947934480208545,19.03,100,88,12.24
1,butaritari,ki,9.207698428077498,167.48194837491053,82.4,78,1,9.17
2,port alfred,za,-89.56462306535181,44.56634331260186,-57.93,0,36,25.55
3,mataura,pf,-80.00595756216818,-165.49103416170445,-32.19,0,8,8.99
4,mayo,ca,64.98710923644147,-139.6096691920443,41.26,94,80,2.17
5,rudnogorsk,ru,56.8153587052853,103.49790924464645,58.99,75,48,5.75
6,ambon,id,-5.773809389934136,128.6195845333246,80.14,100,92,13.69
7,ushuaia,ar,-82.73551795569813,-82.66139955617498,-25.26,32,68,12.68
8,yorosso,ml,12.45190836509303,-5.119098726226136,88.78,64,0,12.68
9,saskylakh,ru,77.55266369641886,119.42415103105172,34.15,86,76,18.5
10,carnarvon,au,-24.793726414953262,107.01189342690705,65.56,100,0,16.15
11,vaini,to,-84.37125645204807,-172.90733169608447,-11.4,68,48,4.97
12,qaanaaq,gl,84.7791511177596,-71.76231004785723,30.55,100,92,14.03
13,tilichiki,ru,61.210138788613264,164.92391769475347,46.93,83,0,8.99
14,port lincoln,au,-43.83246703077464,129.12349231631092,46.57,100,64,11.23
15,avarua,ck,-21.16174076379182,-163.81030737320418,76.18,97,68,26.55
16,iqaluit,ca,58.424205791048934,-70.1148947204444,42.8,100,75,2.24
17,chokurdakh,ru,85.79826905380011,150.2458294888222,21.19,84,12,8.55
18,busselton,au,-40.624913241533136,107.19592881292819,44.32,100,92,0.94
19,rikitea,pf,-63.50605347940253,-129.30295410210223,13.45,100,20,34.94
20,hilo,us,6.500592336024806,-146.5951329755971,81.4,100,44,11.01
21,khatanga,ru,72.34867143587356,98.14058494584353,49.36,94,88,4.41
22,taolanaro,mg,-60.045790726164675,65.03748042396866,29.56,100,88,27.89
23,punta arenas,cl,-74.3982352049234,-118.51961367839893,-5.28,79,76,8.99
24,narsaq,gl,79.52247472736953,-64.67718821961712,33.43,96,20,15.48
25,pokrovsk-uralskiy,ru,60.5152940176495,59.06758135554482,58.9,57,36,4.97
26,bengkulu,id,-18.795729273719463,88.21242502223875,71.14,100,80,24.65
27,pisco,pe,-18.734006074234973,-86.24809590242772,66.01,100,0,22.86
28,bouna,ci,9.535982742646405,-3.9843887965942004,81.4,100,12,4.52
29,barentsburg,sj,88.6659210720212,8.91443202836063,26.86,93,68,21.18
30,dunedin,nz,-52.4987927130283,177.33439543184264,41.98,100,0,2.39
31,hermanus,za,-87.34497556358149,-12.149626965704726,-53.7,0,44,20.07
32,thompson,ca,71.29507512405793,-90.23981315940628,36.76,82,0,7.99
33,cherskiy,ru,78.75842215869362,163.69238002598533,28.39,96,80,15.26
