GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_VC03,2014 Estimate; EMPLOYMENT STATUS - Population 16 years and over
HC02_VC03,2013 Estimate; EMPLOYMENT STATUS - Population 16 years and over
HC03_VC03,2014 - 2013 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over
HC04_VC03,2012 Estimate; EMPLOYMENT STATUS - Population 16 years and over
HC05_VC03,2014 - 2012 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over
HC06_VC03,2011 Estimate; EMPLOYMENT STATUS - Population 16 years and over
HC07_VC03,2014 - 2011 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over
HC08_VC03,2010 Estimate; EMPLOYMENT STATUS - Population 16 years and over
HC09_VC03,2014 - 2010 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over
HC01_VC04,2014 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force
HC02_VC04,2013 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force
HC03_VC04,2014 - 2013 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - In labor force
HC04_VC04,2012 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force
HC05_VC04,2014 - 2012 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - In labor force
HC06_VC04,2011 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force
HC07_VC04,2014 - 2011 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - In labor force
HC08_VC04,2010 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force
HC09_VC04,2014 - 2010 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - In labor force
HC01_VC05,2014 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force
HC02_VC05,2013 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force
HC03_VC05,2014 - 2013 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force
HC04_VC05,2012 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force
HC05_VC05,2014 - 2012 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force
HC06_VC05,2011 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force
HC07_VC05,2014 - 2011 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force
HC08_VC05,2010 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force
HC09_VC05,2014 - 2010 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force
HC01_VC06,2014 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed
HC02_VC06,2013 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed
HC03_VC06,2014 - 2013 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed
HC04_VC06,2012 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed
HC05_VC06,2014 - 2012 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed
HC06_VC06,2011 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed
HC07_VC06,2014 - 2011 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed
HC08_VC06,2010 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed
HC09_VC06,2014 - 2010 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Employed
HC01_VC07,2014 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC02_VC07,2013 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC03_VC07,2014 - 2013 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC04_VC07,2012 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC05_VC07,2014 - 2012 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC06_VC07,2011 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC07_VC07,2014 - 2011 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC08_VC07,2010 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC09_VC07,2014 - 2010 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Civilian labor force - Unemployed
HC01_VC08,2014 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Armed Forces
HC02_VC08,2013 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Armed Forces
HC03_VC08,2014 - 2013 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Armed Forces
HC04_VC08,2012 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Armed Forces
HC05_VC08,2014 - 2012 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Armed Forces
HC06_VC08,2011 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Armed Forces
HC07_VC08,2014 - 2011 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Armed Forces
HC08_VC08,2010 Estimate; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Armed Forces
HC09_VC08,2014 - 2010 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - In labor force - Armed Forces
HC01_VC09,2014 Estimate; EMPLOYMENT STATUS - Population 16 years and over - Not in labor force
HC02_VC09,2013 Estimate; EMPLOYMENT STATUS - Population 16 years and over - Not in labor force
HC03_VC09,2014 - 2013 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - Not in labor force
HC04_VC09,2012 Estimate; EMPLOYMENT STATUS - Population 16 years and over - Not in labor force
HC05_VC09,2014 - 2012 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - Not in labor force
HC06_VC09,2011 Estimate; EMPLOYMENT STATUS - Population 16 years and over - Not in labor force
HC07_VC09,2014 - 2011 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - Not in labor force
HC08_VC09,2010 Estimate; EMPLOYMENT STATUS - Population 16 years and over - Not in labor force
HC09_VC09,2014 - 2010 Statistical Significance; EMPLOYMENT STATUS - Population 16 years and over - Not in labor force
HC01_VC11,2014 Estimate; EMPLOYMENT STATUS - Civilian labor force
HC02_VC11,2013 Estimate; EMPLOYMENT STATUS - Civilian labor force
HC03_VC11,2014 - 2013 Statistical Significance; EMPLOYMENT STATUS - Civilian labor force
HC04_VC11,2012 Estimate; EMPLOYMENT STATUS - Civilian labor force
HC05_VC11,2014 - 2012 Statistical Significance; EMPLOYMENT STATUS - Civilian labor force
HC06_VC11,2011 Estimate; EMPLOYMENT STATUS - Civilian labor force
HC07_VC11,2014 - 2011 Statistical Significance; EMPLOYMENT STATUS - Civilian labor force
HC08_VC11,2010 Estimate; EMPLOYMENT STATUS - Civilian labor force
HC09_VC11,2014 - 2010 Statistical Significance; EMPLOYMENT STATUS - Civilian labor force
HC01_VC12,2014 Estimate; EMPLOYMENT STATUS - Civilian labor force - Percent Unemployed
HC02_VC12,2013 Estimate; EMPLOYMENT STATUS - Civilian labor force - Percent Unemployed
HC03_VC12,2014 - 2013 Statistical Significance; EMPLOYMENT STATUS - Civilian labor force - Percent Unemployed
HC04_VC12,2012 Estimate; EMPLOYMENT STATUS - Civilian labor force - Percent Unemployed
HC05_VC12,2014 - 2012 Statistical Significance; EMPLOYMENT STATUS - Civilian labor force - Percent Unemployed
HC06_VC12,2011 Estimate; EMPLOYMENT STATUS - Civilian labor force - Percent Unemployed
HC07_VC12,2014 - 2011 Statistical Significance; EMPLOYMENT STATUS - Civilian labor force - Percent Unemployed
HC08_VC12,2010 Estimate; EMPLOYMENT STATUS - Civilian labor force - Percent Unemployed
HC09_VC12,2014 - 2010 Statistical Significance; EMPLOYMENT STATUS - Civilian labor force - Percent Unemployed
HC01_VC14,2014 Estimate; EMPLOYMENT STATUS - Females 16 years and over
HC02_VC14,2013 Estimate; EMPLOYMENT STATUS - Females 16 years and over
HC03_VC14,2014 - 2013 Statistical Significance; EMPLOYMENT STATUS - Females 16 years and over
HC04_VC14,2012 Estimate; EMPLOYMENT STATUS - Females 16 years and over
HC05_VC14,2014 - 2012 Statistical Significance; EMPLOYMENT STATUS - Females 16 years and over
