GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01
Id,Id2,Geography,Total; Estimate; Population 16 years and over,Total; Margin of Error; Population 16 years and over,In labor force; Estimate; Population 16 years and over,In labor force; Margin of Error; Population 16 years and over,Employed; Estimate; Population 16 years and over,Employed; Margin of Error; Population 16 years and over,Unemployment rate; Estimate; Population 16 years and over,Unemployment rate; Margin of Error; Population 16 years and over
0400000US01,01,Alabama,3868747,3738,57.7,0.3,52.5,0.4,8.6,0.3
0400000US02,02,Alaska,569911,1636,70.0,0.8,61.9,0.9,7.6,0.6
0400000US04,04,Arizona,5290469,4130,59.2,0.3,54.2,0.4,7.9,0.3
0400000US05,05,Arkansas,2343443,3729,58.2,0.5,54.2,0.5,6.8,0.3
0400000US06,06,California,30704439,9615,63.2,0.1,57.4,0.1,8.5,0.1
0400000US08,08,Colorado,4238297,3544,68.1,0.3,63.7,0.3,5.5,0.2
0400000US09,09,Connecticut,2919245,2833,67.2,0.3,61.6,0.4,7.9,0.3
0400000US10,10,Delaware,754226,1498,63.1,0.7,58.5,0.7,6.7,0.6
0400000US11,11,District of Columbia,555126,827,68.9,1.0,62.3,1.0,8.9,0.8
0400000US12,12,Florida,16308785,7380,58.6,0.2,53.6,0.2,8.0,0.2
0400000US13,13,Georgia,7881211,6136,62.4,0.3,56.7,0.3,8.3,0.3
0400000US15,15,Hawaii,1143931,1584,64.8,0.6,58.1,0.7,5.4,0.5
0400000US16,16,Idaho,1250127,3046,61.9,0.6,58.1,0.7,5.5,0.6
0400000US17,17,Illinois,10240928,4678,65.4,0.2,60.0,0.2,8.1,0.2
0400000US18,18,Indiana,5192037,4727,64.0,0.3,59.5,0.3,7.1,0.3
0400000US19,19,Iowa,2463632,3335,67.8,0.3,64.7,0.4,4.4,0.2
0400000US20,20,Kansas,2259733,3545,66.0,0.4,61.9,0.4,5.2,0.3
0400000US21,21,Kentucky,3509151,4192,59.3,0.4,54.4,0.4,7.6,0.3
0400000US22,22,Louisiana,3655824,4859,60.0,0.4,55.2,0.4,7.5,0.3
0400000US23,23,Maine,1102244,1635,63.1,0.6,59.3,0.6,5.9,0.4
0400000US24,24,Maryland,4775143,3954,68.1,0.3,62.7,0.3,7.2,0.2
0400000US25,25,Massachusetts,5520206,3641,67.5,0.3,62.9,0.4,6.7,0.3
0400000US26,26,Michigan,7957568,4941,61.0,0.2,55.9,0.3,8.3,0.2
0400000US27,27,Minnesota,4318075,3243,69.7,0.3,66.3,0.3,4.7,0.2
0400000US28,28,Mississippi,2338899,3586,57.7,0.5,51.7,0.5,9.8,0.4
0400000US29,29,Missouri,4827523,4262,62.7,0.3,58.1,0.3,6.8,0.3
0400000US30,30,Montana,822974,1799,63.6,0.6,60.1,0.7,4.9,0.5
0400000US31,31,Nebraska,1462485,2455,70.3,0.4,67.1,0.5,4.2,0.3
0400000US32,32,Nevada,2251404,2432,63.7,0.5,57.7,0.5,8.9,0.4
0400000US33,33,New Hampshire,1094383,1948,68.0,0.6,64.4,0.6,5.1,0.3
0400000US34,34,New Jersey,7166696,4786,66.1,0.2,61.0,0.3,7.5,0.2
0400000US35,35,New Mexico,1639468,2924,59.0,0.6,53.4,0.6,8.7,0.5
0400000US36,36,New York,16001813,7423,63.2,0.2,58.5,0.2,7.3,0.1
0400000US37,37,North Carolina,7900178,6904,62.4,0.2,56.3,0.3,8.3,0.2
0400000US38,38,North Dakota,589297,1376,69.4,0.8,66.5,0.8,3.0,0.4
0400000US39,39,Ohio,9262560,5573,63.3,0.2,58.7,0.2,7.2,0.2
0400000US40,40,Oklahoma,3029228,2499,61.3,0.3,57.3,0.3,5.7,0.3
0400000US41,41,Oregon,3210388,3868,61.5,0.4,56.6,0.4,7.8,0.3
0400000US42,42,Pennsylvania,10405544,4594,62.5,0.2,58.1,0.2,7.0,0.2
0400000US44,44,Rhode Island,868108,1498,65.0,0.8,59.7,0.8,7.8,0.6
0400000US45,45,South Carolina,3871752,4403,60.6,0.4,54.9,0.4,8.1,0.3
0400000US46,46,South Dakota,665564,1723,69.6,0.7,66.5,0.7,3.9,0.5
0400000US47,47,Tennessee,5222167,4278,60.8,0.3,55.7,0.3,7.8,0.3
0400000US48,48,Texas,20605746,8590,64.5,0.2,60.2,0.2,6.1,0.1
0400000US49,49,Utah,2130444,3007,67.6,0.3,64.0,0.4,5.0,0.3
0400000US50,50,Vermont,520279,1053,66.2,0.9,62.5,0.9,5.5,0.6
0400000US51,51,Virginia,6664581,5021,66.1,0.3,60.6,0.3,6.1,0.2
0400000US53,53,Washington,5635461,3788,64.1,0.3,59.1,0.3,6.5,0.3
0400000US54,54,West Virginia,1510708,2400,53.2,0.5,49.5,0.6,6.9,0.5
0400000US55,55,Wisconsin,4606827,3970,66.9,0.2,63.3,0.2,5.3,0.2
0400000US56,56,Wyoming,461972,1568,68.2,0.9,64.8,0.9,4.3,0.7
0400000US72,72,Puerto Rico,2878013,2575,44.5,0.4,36.3,0.4,18.5,0.7
