GameWeek,GameDate,AwayTeam,HomeTeam
Week 1,09/07/2017,KC,NE
Week 1,09/10/2017,NYJ,BUF
Week 1,09/10/2017,ATL,CHI
Week 1,09/10/2017,BAL,CIN
Week 1,09/10/2017,PIT,CLE
Week 1,09/10/2017,ARI,DET
Week 1,09/10/2017,JAC,HOU
Week 1,09/10/2017,TB,MIA
Week 1,09/10/2017,OAK,TEN
Week 1,09/10/2017,PHI,WAS
Week 1,09/10/2017,IND,LAR
Week 1,09/10/2017,SEA,GB
Week 1,09/10/2017,CAR,SF
Week 1,09/10/2017,NYG,DAL
Week 1,09/11/2017,NO,MIN
Week 1,09/11/2017,LAC,DEN
Week 2,09/14/2017,HOU,CIN
Week 2,09/17/2017,CLE,BAL
Week 2,09/17/2017,BUF,CAR
Week 2,09/17/2017,ARI,IND
Week 2,09/17/2017,TEN,JAC
Week 2,09/17/2017,PHI,KC
Week 2,09/17/2017,NE,NO
Week 2,09/17/2017,MIN,PIT
Week 2,09/17/2017,CHI,TB
Week 2,09/17/2017,MIA,LAC
Week 2,09/17/2017,NYJ,OAK
Week 2,09/17/2017,DAL,DEN
Week 2,09/17/2017,WAS,LAR
Week 2,09/17/2017,SF,SEA
Week 2,09/17/2017,GB,ATL
Week 2,09/18/2017,DET,NYG
Week 3,09/21/2017,LAR,SF
Week 3,09/24/2017,BAL,JAC
Week 3,09/24/2017,DEN,BUF
Week 3,09/24/2017,NO,CAR
Week 3,09/24/2017,PIT,CHI
Week 3,09/24/2017,ATL,DET
Week 3,09/24/2017,CLE,IND
Week 3,09/24/2017,TB,MIN
Week 3,09/24/2017,HOU,NE
Week 3,09/24/2017,MIA,NYJ
Week 3,09/24/2017,NYG,PHI
Week 3,09/24/2017,SEA,TEN
Week 3,09/24/2017,CIN,GB
Week 3,09/24/2017,KC,LAC
Week 3,09/24/2017,OAK,WAS
Week 3,09/25/2017,DAL,ARI
Week 4,09/28/2017,CHI,GB
Week 4,10/01/2017,NO,MIA
Week 4,10/01/2017,BUF,ATL
Week 4,10/01/2017,PIT,BAL
Week 4,10/01/2017,CIN,CLE
Week 4,10/01/2017,LAR,DAL
Week 4,10/01/2017,TEN,HOU
Week 4,10/01/2017,DET,MIN
Week 4,10/01/2017,CAR,NE
Week 4,10/01/2017,JAC,NYJ
Week 4,10/01/2017,SF,ARI
Week 4,10/01/2017,PHI,LAC
Week 4,10/01/2017,NYG,TB
Week 4,10/01/2017,OAK,DEN
Week 4,10/01/2017,IND,SEA
