team,position,name,rank
GB,QB,Aaron Rodgers,1
NE,QB,Tom Brady,2
NO,QB,Drew Brees,3
IND,QB,Andrew Luck,4
ATL,QB,Matt Ryan,5
SEA,QB,Russell Wilson,6
WAS,QB,Kirk Cousins,7
OAK,QB,Derek Carr,8
DAL,QB,Dak Prescott,9
PIT,QB,Ben Roethlisberger,10
CAR,QB,Cam Newton,11
TB,QB,Jameis Winston,12
LAC,QB,Philip Rivers,13
BUF,QB,Tyrod Taylor,14
TEN,QB,Marcus Mariota,15
DET,QB,Matthew Stafford,16
PHI,QB,Carson Wentz,17
CIN,QB,Andy Dalton,18
NYG,QB,Eli Manning,19
ARI,QB,Carson Palmer,20
HOU,QB,Deshaun Watson,21
CHI,QB,Mike Glennon,22
JAC,QB,Blake Bortles,23
BAL,QB,Joe Flacco,24
KC,QB,Alex Smith,25
MIA,QB,Ryan Tannehill,26
MIN,QB,Sam Bradford,27
SF,QB,Brian Hoyer,28
CLE,QB,Cody Kessler,29
LAR,QB,Jared Goff,30
PIT,RB,Le'Veon Bell,1
ARI,RB,David Johnson,2
DAL,RB,Ezekiel Elliott,3
BUF,RB,LeSean McCoy,4
LAC,RB,Melvin Gordon,5
CHI,RB,Jordan Howard,6
ATL,RB,Devonta Freeman,7
TEN,RB,DeMarco Murray,8
MIA,RB,Jay Ajayi,9
HOU,RB,Lamar Miller,10
JAC,RB,Leonard Fournette,11
OAK,RB,Marshawn Lynch,12
LAR,RB,Todd Gurley,13
CLE,RB,Isaiah Crowell,14
NO,RB,Mark Ingram,15
CAR,RB,Christian McCaffrey,16
KC,RB,Spencer Ware,17
SF,RB,Carlos Hyde,18
DEN,RB,C.J,19
BAL,RB,Danny Woodhead,20
PHI,RB,LeGarrette Blount,21
NYJ,RB,Bilal Powell,22
MIN,RB,Dalvin Cook,23
GB,RB,Ty Montgomery,24
CIN,RB,Joe Mixon,25
SEA,RB,Eddie Lacy,26
ATL,RB,Tevin Coleman,27
NO,RB,Adrian Peterson,28
NE,RB,James White,29
DET,RB,Ameer Abdullah,30
IND,RB,Frank Gore,31
NE,RB,Mike Gillislee,32
DET,RB,Theo Riddick,33
WAS,RB,Robert Kelley,34
PHI,RB,Darren Sproles,35
TB,RB,Doug Martin,36
NYG,RB,Paul Perkins,37
SEA,RB,C.J,38
CIN,RB,Giovani Bernard,39
OAK,RB,Jalen Richard,40
OAK,RB,DeAndre Washington,41
MIN,RB,Latavius Murray,42
NYJ,RB,Matt Forte,43
SEA,RB,Thomas Rawls,44
CAR,RB,Jonathan Stewart,45
TB,RB,Jacquizz Rodgers,46
BAL,RB,Kenneth Dixon,47
WAS,RB,Samaje Perine,48
NE,RB,Rex Burkhead,49
KC,RB,Kareem Hunt,50
CIN,RB,Jeremy Hill,51
TEN,RB,Derrick Henry,52
NO,RB,Alvin Kamara,53
JAC,RB,T.J,54
WAS,RB,Chris Thompson,55
CLE,RB,Duke Johnson Jr.,56
DEN,RB,Jamaal Charles,57
NYG,RB,Shane Vereen,58
PHI,RB,Wendell Smallwood,59
HOU,RB,D'Onta Foreman,60
NE,RB,Dion Lewis,61
PHI,RB,Donnel Pumphrey,62
BAL,RB,Terrance West,63
PIT,RB,Fitzgerald Toussaint,64
DET,RB,Zach Zenner,65
SF,RB,Tim Hightower,66
MIA,RB,Kenyan Drake,67
DEN,RB,Devontae Booker,68
JAC,RB,Corey Grant,69
JAC,RB,Chris Ivory,70
SF,RB,Kyle Juszczyk,71
PIT,RB,James Conner,72
LAR,RB,Lance Dunbar,73
TB,RB,Charles Sims,74
MIN,RB,Jerick McKinnon,75
PIT,WR,Antonio Brown,1
NYG,WR,Odell Beckham Jr.,2
TB,WR,Mike Evans,3
ATL,WR,Julio Jones,4
CIN,WR,A.J,5
GB,WR,Jordy Nelson,6
NO,WR,Michael Thomas,7
DAL,WR,Dez Bryant,8
IND,WR,T.Y,9
OAK,WR,Amari Cooper,10
PHI,WR,Alshon Jeffery,11
LAC,WR,Keenan Allen,12
DEN,WR,Demaryius Thomas,13
SEA,WR,Doug Baldwin,14
BUF,WR,Sammy Watkins,15
NE,WR,Julian Edelman,16
GB,WR,Davante Adams,17
DET,WR,Golden Tate,18
WAS,WR,Terrelle Pryor Sr.,19
NE,WR,Brandin Cooks,20
MIA,WR,Jarvis Landry,21
JAC,WR,Allen Robinson,22
HOU,WR,DeAndre Hopkins,23
NYG,WR,Brandon Marshall,24
KC,WR,Tyreek Hill,25
OAK,WR,Michael Crabtree,26
SF,WR,Pierre Garcon,27
DEN,WR,Emmanuel Sanders,28
TEN,WR,Eric Decker,29
BAL,WR,Mike Wallace,30
WAS,WR,Jamison Crowder,31
ARI,WR,Larry Fitzgerald,32
TEN,WR,Rishard Matthews,33
PIT,WR,Martavis Bryant,34
MIN,WR,Stefon Diggs,35
PHI,WR,Jordan Matthews,36
LAR,WR,Robert Woods,37
IND,WR,Donte Moncrief,38
CLE,WR,Corey Coleman,39
NO,WR,Willie Snead,40
CAR,WR,Kelvin Benjamin,41
TB,WR,DeSean Jackson,42
CHI,WR,Cameron Meredith,43
MIN,WR,Adam Thielen,44
CLE,WR,Kenny Britt,45
BUF,WR,Zay Jones,46
LAC,WR,Tyrell Williams,47
TEN,WR,Corey Davis,48
WAS,WR,Josh Doctson,49
ARI,WR,John Brown,50
LAC,WR,Mike Williams,51
CIN,WR,John Ross,52
NO,WR,Ted Ginn Jr.,53
CHI,WR,Kevin White,54
MIA,WR,DeVante Parker,55
IND,WR,Kamar Aiken,56
DET,WR,Marvin Jones,57
GB,WR,Randall Cobb,58
JAC,WR,Marqise Lee,59
MIA,WR,Kenny Stills,60
HOU,WR,Will Fuller V,61
NYG,WR,Sterling Shepard,62
ARI,WR,J.J,63
BAL,WR,Jeremy Maclin,64
NE,WR,Malcolm Mitchell,65
NE,WR,Chris Hogan,66
BAL,WR,Breshad Perriman,67
LAR,WR,Tavon Austin,68
PHI,WR,Torrey Smith,69
BAL,WR,Michael Campanaro,70
NE,TE,Rob Gronkowski,1
WAS,TE,Jordan Reed,2
KC,TE,Travis Kelce,3
CAR,TE,Greg Olsen,4
TEN,TE,Delanie Walker,5
SEA,TE,Jimmy Graham,6
MIN,TE,Kyle Rudolph,7
CIN,TE,Tyler Eifert,8
IND,TE,Jack Doyle,9
PHI,TE,Zach Ertz,10
LAC,TE,Hunter Henry,11
CHI,TE,Zach Miller,12
TB,TE,O.J,13
HOU,TE,C.J,14
TB,TE,Cameron Brate,15
MIA,TE,Julius Thomas,16
ATL,TE,Austin Hooper,17
DAL,TE,Jason Witten,18
GB,TE,Martellus Bennett,19
DET,TE,Eric Ebron,20
PIT,TE,Jesse James,21
NE,TE,Dwayne Allen,22
NO,TE,Coby Fleener,23
LAC,TE,Antonio Gates,24
CLE,TE,David Njoku,25
NYG,TE,Evan Engram,26
SF,TE,Vance McDonald,27
BUF,TE,Charles Clay,28
OAK,TE,Jared Cook,29
BAL,TE,Benjamin Watson,30
ATL,K,Matt Bryant,1
IND,K,Adam Vinatieri,2
DET,K,Matt Prater,3
DAL,K,Dan Bailey,4
NO,K,Wil Lutz,5
NE,K,Stephen Gostkowski,6
BAL,K,Justin Tucker,7
GB,K,Mason Crosby,8
KC,K,Cairo Santos,9
PHI,K,Caleb Sturgis,10
OAK,K,Sebastian Janikowski,11
BUF,K,Steven Hauschka,12
WAS,K,Dustin Hopkins,13
