team,pos,name,rank
ARI,RB,David Johnson,1
PIT,RB,Le'Veon Bell,2
DAL,RB,Ezekiel Elliott,3
PIT,WR,Antonio Brown,4
NYG,WR,Odell Beckham Jr.,5
ATL,WR,Julio Jones,6
BUF,RB,LeSean McCoy,7
TB,WR,Mike Evans,8
LAC,RB,Melvin Gordon,9
CIN,WR,A.J. Green,10
ATL,RB,Devonta Freeman,11
GB,WR,Jordy Nelson,12
MIA,RB,Jay Ajayi,13
CHI,RB,Jordan Howard,14
TEN,RB,DeMarco Murray,15
IND,WR,T.Y. Hilton,16
NO,WR,Michael Thomas,17
DAL,WR,Dez Bryant,18
LAR,RB,Todd Gurley,19
OAK,WR,Amari Cooper,20
SEA,WR,Doug Baldwin,21
HOU,RB,Lamar Miller,22
NE,TE,Rob Gronkowski,23
JAC,RB,Leonard Fournette,24
CLE,RB,Isaiah Crowell,25
HOU,WR,DeAndre Hopkins,26
NE,WR,Brandin Cooks,27
JAC,WR,Allen Robinson,28
GB,QB,Aaron Rodgers,29
SF,RB,Carlos Hyde,30
DEN,WR,Demaryius Thomas,31
BUF,WR,Sammy Watkins,32
NE,QB,Tom Brady,33
PHI,WR,Alshon Jeffery,34
GB,WR,Davante Adams,35
OAK,RB,Marshawn Lynch,36
KC,TE,Travis Kelce,37
NO,QB,Drew Brees,38
WAS,WR,Terrelle Pryor,39
OAK,WR,Michael Crabtree,40
CIN,RB,Joe Mixon,41
LAC,WR,Keenan Allen,42
IND,QB,Andrew Luck,43
KC,RB,Spencer Ware,44
DEN,RB,C.J. Anderson,45
NO,RB,Mark Ingram,46
WAS,TE,Jordan Reed,47
GB,RB,Ty Montgomery,48
CAR,RB,Christian McCaffrey,49
CAR,TE,Greg Olsen,50
SEA,RB,Eddie Lacy,51
MIA,WR,Jarvis Landry,52
DET,WR,Golden Tate,53
DEN,WR,Emmanuel Sanders,54
NE,RB,Mike Gillislee,55
ARI,WR,Larry Fitzgerald,56
ATL,RB,Tevin Coleman,57
NE,WR,Julian Edelman,58
DET,RB,Ameer Abdullah,59
KC,WR,Tyreek Hill,60
IND,RB,Frank Gore,61
PIT,WR,Martavis Bryant,62
ATL,QB,Matt Ryan,63
NYJ,RB,Bilal Powell,64
SEA,QB,Russell Wilson,65
MIN,RB,Dalvin Cook,66
IND,WR,Donte Moncrief,67
SEA,TE,Jimmy Graham,68
PHI,RB,LeGarrette Blount,69
NYG,WR,Brandon Marshall,70
NO,WR,Willie Snead,71
NYG,RB,Paul Perkins,72
CIN,TE,Tyler Eifert,73
NO,RB,Adrian Peterson,74
WAS,WR,Jamison Crowder,75
TB,WR,DeSean Jackson,76
CAR,WR,Kelvin Benjamin,77
MIN,WR,Stefon Diggs,78
TEN,QB,Marcus Mariota,79
TB,QB,Jameis Winston,80
WAS,QB,Kirk Cousins,81
TB,RB,Doug Martin,82
CAR,QB,Cam Newton,83
TEN,TE,Delanie Walker,84
SF,WR,Pierre Garcon,85
