week,day,team1,team1_abbr,team2,team2_abbr
Hall of Fame Weekend,08/03/2017,Arizona,ARI,Dallas,DAL
Preseason Week 1,08/09/2017,Houston,HOU,Carolina,CAR
Preseason Week 1,08/10/2017,Atlanta,ATL,Miami,MIA
Preseason Week 1,08/10/2017,Minnesota,MIN,Buffalo,BUF
Preseason Week 1,08/10/2017,Washington,WSH,Baltimore,BAL
Preseason Week 1,08/10/2017,Jacksonville,JAX,New England,NE
Preseason Week 1,08/10/2017,New Orleans,NO,Cleveland,CLE
Preseason Week 1,08/10/2017,Philadelphia,PHI,Green Bay,GB
Preseason Week 1,08/10/2017,Denver,DEN,Chicago,CHI
Preseason Week 1,08/11/2017,Pittsburgh,PIT,New York,NYG
Preseason Week 1,08/11/2017,Tampa Bay,TB,Cincinnati,CIN
Preseason Week 1,08/11/2017,San Francisco,SF,Kansas City,KC
Preseason Week 1,08/12/2017,Tennessee,TEN,New York,NYJ
Preseason Week 1,08/12/2017,Dallas,DAL,Los Angeles,LAR
Preseason Week 1,08/12/2017,Oakland,OAK,Arizona,ARI
Preseason Week 1,08/13/2017,Detroit,DET,Indianapolis,IND
Preseason Week 1,08/13/2017,Seattle,SEA,Los Angeles,LAC
Preseason Week 2,08/17/2017,Baltimore,BAL,Miami,MIA
Preseason Week 2,08/17/2017,Buffalo,BUF,Philadelphia,PHI
Preseason Week 2,08/17/2017,Tampa Bay,TB,Jacksonville,JAX
Preseason Week 2,08/18/2017,Minnesota,MIN,Seattle,SEA
Preseason Week 2,08/19/2017,Carolina,CAR,Tennessee,TEN
Preseason Week 2,08/19/2017,Kansas City,KC,Cincinnati,CIN
Preseason Week 2,08/19/2017,Indianapolis,IND,Dallas,DAL
Preseason Week 2,08/19/2017,Green Bay,GB,Washington,WSH
Preseason Week 2,08/19/2017,New York,NYJ,Detroit,DET
Preseason Week 2,08/19/2017,New England,NE,Houston,HOU
Preseason Week 2,08/19/2017,Chicago,CHI,Arizona,ARI
Preseason Week 2,08/19/2017,Denver,DEN,San Francisco,SF
Preseason Week 2,08/19/2017,Los Angeles,LAR,Oakland,OAK
Preseason Week 2,08/20/2017,Atlanta,ATL,Pittsburgh,PIT
Preseason Week 2,08/20/2017,New Orleans,NO,Los Angeles,LAC
Preseason Week 2,08/21/2017,New York,NYG,Cleveland,CLE
Preseason Week 3,08/24/2017,Miami,MIA,Philadelphia,PHI
Preseason Week 3,08/24/2017,Carolina,CAR,Jacksonville,JAX
Preseason Week 3,08/25/2017,New England,NE,Detroit,DET
Preseason Week 3,08/25/2017,Kansas City,KC,Seattle,SEA
Preseason Week 3,08/26/2017,Arizona,ARI,Atlanta,ATL
Preseason Week 3,08/26/2017,Buffalo,BUF,Baltimore,BAL
Preseason Week 3,08/26/2017,New York,NYJ,New York,NYG
Preseason Week 3,08/26/2017,Indianapolis,IND,Pittsburgh,PIT
Preseason Week 3,08/26/2017,Cleveland,CLE,Tampa Bay,TB
Preseason Week 3,08/26/2017,Los Angeles,LAC,Los Angeles,LAR
