team,position,name,rank
NO,QB,Drew Brees,1
ATL,QB,Matt Ryan,2
WAS,QB,Kirk Cousins,3
GB,QB,Aaron Rodgers,4
SD,QB,Philip Rivers,5
DET,QB,Matthew Stafford,6
BAL,QB,Joe Flacco,7
IND,QB,Andrew Luck,8
ARI,QB,Carson Palmer,9
SEA,QB,Russell Wilson,10
CIN,QB,Andy Dalton,11
TB,QB,Jameis Winston,12
NYG,QB,Eli Manning,13
OAK,QB,Derek Carr,14
JAX,QB,Blake Bortles,15
MIN,QB,Sam Bradford,16
PIT,QB,Ben Roethlisberger,17
PHI,QB,Carson Wentz,18
DAL,QB,Dak Prescott,19
NE,QB,Tom Brady,20
CAR,QB,Cam Newton,21
KC,QB,Alex Smith,22
TEN,QB,Marcus Mariota,23
DEN,QB,Trevor Siemian,24
BUF,QB,Tyrod Taylor,25
MIA,QB,Ryan Tannehill,26
HOU,QB,Brock Osweiler,27
NYJ,QB,Ryan Fitzpatrick,28
SF,QB,Colin Kaepernick,29
LA,QB,Case Keenum,30
CHI,QB,Matt Barkley,31
CHI,QB,Brian Hoyer,32
CLE,QB,Cody Kessler,33
CLE,QB,Josh McCown,34
LA,QB,Jared Goff,35
CHI,QB,Jay Cutler,36
SF,QB,Blaine Gabbert,37
CLE,QB,Robert Griffin III,38
NYJ,QB,Bryce Petty,39
MIA,QB,Matt Moore,40
PIT,QB,Landry Jones,41
NE,QB,Jimmy Garoppolo,42
DEN,QB,Paxton Lynch,43
HOU,QB,Tom Savage,44
CAR,QB,Derek Anderson,45
KC,QB,Nick Foles,46
NE,QB,Jacoby Brissett,47
TEN,QB,Matt Cassel,48
MIN,QB,Shaun Hill,49
IND,QB,Scott Tolzien,50
DAL,RB,Ezekiel Elliott,1
PIT,RB,Le'Veon Bell,2
CHI,RB,Jordan Howard,3
SD,RB,Andre Williams,4
MIA,RB,Jay Ajayi,5
BUF,RB,LeSean McCoy,6
TEN,RB,DeMarco Murray,7
ARI,RB,David Johnson,8
SD,RB,Melvin Gordon,9
HOU,RB,Lamar Miller,10
SF,RB,Carlos Hyde,11
NE,RB,LeGarrette Blount,12
GB,RB,Eddie Lacy,13
ATL,RB,Devonta Freeman,14
KC,RB,Spencer Ware,15
WAS,RB,Matt Jones,16
NO,RB,Mark Ingram,17
IND,RB,Frank Gore,18
CAR,RB,Jonathan Stewart,19
DEN,RB,C.J. Anderson,20
CLE,RB,Isaiah Crowell,21
NYJ,RB,Matt Forte,22
SD,RB,Danny Woodhead,23
OAK,RB,Latavius Murray,24
TB,RB,Jacquizz Rodgers,25
CIN,RB,Jeremy Hill,26
LA,RB,Todd Gurley,27
TB,RB,Doug Martin,28
PHI,RB,Ryan Mathews,29
DET,RB,Ameer Abdullah,30
BAL,RB,Terrance West,31
CAR,RB,Cameron Artis-Payne,32
WAS,RB,Rob Kelley,33
NYG,RB,Rashad Jennings,34
NYJ,RB,Bilal Powell,35
NE,RB,Dion Lewis,36
ATL,RB,Tevin Coleman,37
JAX,RB,Chris Ivory,38
SEA,RB,Thomas Rawls,39
DEN,RB,Justin Forsett,40
BUF,RB,Mike Gillislee,41
DEN,RB,Devontae Booker,42
PIT,RB,DeAngelo Williams,43
MIN,RB,Jerick McKinnon,44
DET,RB,Theo Riddick,45
NO,RB,Tim Hightower,46
