date,team,rank
7/20/2017, Atlanta,34.11
7/20/2017, New Orleans,29.31
7/20/2017, New England,28.68
7/20/2017, Green Bay,27.63
7/20/2017, Dallas,26.59
7/20/2017, Arizona,26.12
7/20/2017, Indianapolis,25.69
7/20/2017, San Diego,25.62
7/20/2017, Oakland,25.29
7/20/2017, Buffalo,24.94
7/20/2017, Washington,24.75
7/20/2017, Pittsburgh,24.42
7/20/2017, Kansas City,23.82
7/20/2017, Tennessee,23.81
7/20/2017, Carolina,23.06
7/20/2017, Philadelphia,22.94
7/20/2017,League Average,22.87
7/20/2017, Seattle,22.22
7/20/2017, Tampa Bay,22.12
7/20/2017, Miami,22.06
7/20/2017, Baltimore,21.44
7/20/2017, Denver,20.81
7/20/2017, Detroit,20.71
7/20/2017, Minnesota,20.44
7/20/2017, Cincinnati,20.31
7/20/2017, Jacksonville,19.88
7/20/2017, San Francisco,19.31
7/20/2017, NY Giants,19.0
7/20/2017, Houston,17.89
7/20/2017, Chicago,17.44
7/20/2017, NY Jets,17.19
7/20/2017, Cleveland,16.5
7/20/2017, Los Angeles,14.0
