Code,Name,Side
C,Center,Offense
CB,Cornerbacks,Defense
DE,Defensive Ends,Defense
DEF,Defensive,Defense
DST,Defense/Special Teams,Special
DT,Defensive Tackle,Defense
FB,Fullback,Offense
FS,Free Safety,Defense
G,Guard,Offense
HB,Halfback,Defense
ILB,Inside Linebacker,Defense
K,Kicker,Special
LB,Linebacker,Defense
LCB,Left Cornerback,Defense
LG,Left Guard,Offense
LT,Left Tackle,Offense
NT,Nose Tackle,Defense
OLB,Outside Linebacker,Defense
QB,Quarterback,Offense
RB,Running Back,Offense
RCB,Right Cornerback,Defense
RG,Right Guard,Offense
RT,Right Tackle,Offense
S,Safety,Defense
SCB,Strong Cornerback,Defense
SS,Strong Safety,Defense
T,Tackle,Offense
TE,Tight End,Offense
WR,Wide Receiver,Offense
