ticker,company,marketvalue,shares,sector,sectorID,industry,industryID
AAPL,APPLE INC,20505233700.0,130191960.0,Technology,27.0,Computer Hardware,169.0
AXTA,AXALTA COATING SYS LTD,681060800.0,23324000.0,Basic Materials,21.0,Commodity Chemicals,15.0
BK,BANK NEW YORK MELLON CORP,2616961535.0,50229588.0,Financials,25.0,Investment Management & Fund Operators,208.0
CHTR,CHARTER COMMUNICATIONS INC NEW,3711008658.0,9443491.0,Consumer Cyclicals,23.0,Broadcasting,94.0
COST,COSTCO WHSL CORP NEW,680684660.0,4333363.0,Consumer Cyclicals,23.0,Discount Stores,101.0
GHC,GRAHAM HLDGS CO,61823353.0,107575.0,Consumer Non-Cyclicals,24.0,Personal Services,120.0
GS,GOLDMAN SACHS GROUP INC,2434657146.0,10959519.0,Financials,25.0,Investment Banking & Brokerage Services,207.0
IBM,INTERNATIONAL BUSINESS MACHS,7555628818.0,54084673.0,Technology,27.0,IT Services & Consulting,290.0
KHC,KRAFT HEINZ CO,27512885773.0,325634818.0,Consumer Non-Cyclicals,24.0,Food Processing,114.0
LBTYA,LIBERTY GLOBAL PLC,674041960.0,20180897.0,Consumer Cyclicals,23.0,Broadcasting,94.0
LBTYK,LIBERTY GLOBAL PLC,237968294.0,7346968.0,Consumer Cyclicals,23.0,Broadcasting,94.0
LILAK,LIBERTY GLOBAL PLC,33397360.0,1284020.0,Consumer Cyclicals,23.0,Broadcasting,94.0
LSXMK,LIBERTY MEDIA CORP DELAWARE,1306754100.0,31090985.0,Consumer Cyclicals,23.0,Broadcasting,94.0
MA,MASTERCARD INCORPORATED,647143902.0,4934756.0,Technology,27.0,Internet Services,291.0
MCO,MOODYS CORP,3219159331.0,24669778.0,Industrials,22.0,Professional Information Services,243.0
MDLZ,MONDELEZ INTL INC,24819320.0,578000.0,Consumer Non-Cyclicals,24.0,Food Processing,114.0
MTB,M & T BK CORP,825766397.0,5382040.0,Financials,25.0,Banks,128.0
PG,PROCTER AND GAMBLE CO,29165038.0,315400.0,Consumer Non-Cyclicals,24.0,Personal Products,119.0
QSR,RESTAURANT BRANDS INTL INC,511103288.0,8438225.0,Consumer Cyclicals,23.0,Restaurants & Bars,89.0
SIRI,SIRIUS XM HLDGS INC,757157352.0,137915729.0,Consumer Cyclicals,23.0,Broadcasting,94.0
SNY,SANOFI,188224116.0,3905875.0,Healthcare,26.0,Pharmaceuticals,277.0
STOR,STORE CAP CORP,462934816.0,18621674.0,Financials,25.0,Commercial REITs,216.0
V,VISA INC,1082757775.0,10562460.0,Technology,27.0,Internet Services,291.0
VZ,VERIZON COMMUNICATIONS INC,44256.0,928.0,Telecommunication Services,28.0,Integrated Telecommunications Services,178.0
WFC,WELLS FARGO CO NEW,24185582114.0,467987270.0,Financials,25.0,Banks,128.0
