file_date,name,cusip,mval,shares
2013-06-30,AMERICAN EXPRESS CO,025816109,145942,1952142
2013-06-30,AMERICAN EXPRESS CO,025816109,1287771,17225400
2013-06-30,AMERICAN EXPRESS CO,025816109,62786,839832
2013-06-30,AMERICAN EXPRESS CO,025816109,145266,1943100
2013-06-30,AMERICAN EXPRESS CO,025816109,597679,7994634
2013-06-30,AMERICAN EXPRESS CO,025816109,8990330,120255879
2013-06-30,AMERICAN EXPRESS CO,025816109,104643,1399713
2013-06-30,BANK OF NEW YORK MELLON CORP,064058100,225558,8041300
2013-06-30,BANK OF NEW YORK MELLON CORP,064058100,50319,1793915
2013-06-30,BANK OF NEW YORK MELLON CORP,064058100,241544,8611200
2013-06-30,BANK OF NEW YORK MELLON CORP,064058100,15181,541214
2013-06-30,BANK OF NEW YORK MELLON CORP,064058100,158662,5656400
2013-06-30,CHICAGO BRIDGE & IRON CO N V,167250109,287406,4817400
2013-06-30,CHICAGO BRIDGE & IRON CO N V,167250109,282392,4733355
2013-06-30,COCA COLA CO,191216100,32088,800000
2013-06-30,COCA COLA CO,191216100,3220159,80283200
2013-06-30,COCA COLA CO,191216100,73161,1824000
2013-06-30,COCA COLA CO,191216100,578033,14411200
2013-06-30,COCA COLA CO,191216100,733147,18278400
2013-06-30,COCA COLA CO,191216100,11226436,279891200
2013-06-30,COCA COLA CO,191216100,142471,3552000
2013-06-30,COCA COLA CO,191216100,38506,960000
2013-06-30,CONOCOPHILLIPS,20825C104,61406,1014974
2013-06-30,CONOCOPHILLIPS,20825C104,120958,1999300
2013-06-30,CONOCOPHILLIPS,20825C104,1277133,21109637
2013-06-30,COSTCO WHSL CORP NEW,22160K105,479140,4333363
2013-06-30,DAVITA HEALTHCARE PARTNERS I,23918K108,1084048,8973906
2013-06-30,DAVITA HEALTHCARE PARTNERS I,23918K108,724800,6000000
2013-06-30,DEERE & CO,244199105,135387,1666300
2013-06-30,DEERE & CO,244199105,187888,2312467
2013-06-30,DISH NETWORK CORP,25470M109,23272,547312
2013-06-30,DIRECTV,25490A309,879960,14275800
2013-06-30,DIRECTV,25490A309,1417695,22999600
2013-06-30,GENERAL ELECTRIC CO,369604103,13657,588900
2013-06-30,GENERAL MTRS CO,37045V100,609406,18295000
2013-06-30,GENERAL MTRS CO,37045V100,722994,21705000
2013-06-30,GLAXOSMITHKLINE PLC,37733W105,73757,1476021
2013-06-30,INTERNATIONAL BUSINESS MACHS,459200101,16145,84480
2013-06-30,INTERNATIONAL BUSINESS MACHS,459200101,114205,597588
2013-06-30,INTERNATIONAL BUSINESS MACHS,459200101,90739,474800
2013-06-30,INTERNATIONAL BUSINESS MACHS,459200101,12797703,66965116
2013-06-30,JOHNSON & JOHNSON,478160104,28085,327100
2013-06-30,KRAFT FOODS GROUP INC,50076Q106,10764,192666
2013-06-30,LEE ENTERPRISES INC,523768109,181,88863
2013-06-30,LIBERTY MEDIA CORP DELAWARE,531229102,332408,2622340
2013-06-30,LIBERTY MEDIA CORP DELAWARE,531229102,380280,3000000
2013-06-30,M & T BK CORP,55261F104,61016,546000
2013-06-30,M & T BK CORP,55261F104,18416,164795
2013-06-30,M & T BK CORP,55261F104,522012,4671245
2013-06-30,MASTERCARD INC,57636Q104,232673,405000
2013-06-30,MEDIA GEN INC,584404107,51248,4646220
2013-06-30,MONDELEZ INTL INC,609207105,16490,578000
2013-06-30,MOODYS CORP,615369105,744950,12226328
2013-06-30,MOODYS CORP,615369105,773558,12695850
2013-06-30,NATIONAL OILWELL VARCO INC,637071101,290517,4216500
2013-06-30,NATIONAL OILWELL VARCO INC,637071101,321315,4663500
2013-06-30,PHILLIPS 66,718546104,382668,6495800
2013-06-30,PHILLIPS 66,718546104,536885,9113650
2013-06-30,PHILLIPS 66,718546104,58889,999650
